"","time","lst","best_bid","best_ask","best_bid_size","best_ask_size","total_bid_depth","total_ask_depth","volume"
"1",2017-11-07 23:41:50,811211,811011,811210,0.5951,0.32,12161.20505632,9184.40678419,248340.18216371
"2",2017-11-07 23:41:51,811011,811011,811210,1.19310112,0.32,12157.05305818,9183.10678419,248340.28416259
"3",2017-11-07 23:41:52,811011,811069,811210,0.005,0.2,12174.98725916,9162.16698345,248339.78376259
"4",2017-11-07 23:41:53,811011,811011,811209,0.205,0.5,12166.56415828,9174.71008394,248340.05876259
"5",2017-11-07 23:41:54,811011,811013,811181,0.6366,1,12166.6817576,9172.1579832,248339.9906017
"6",2017-11-07 23:41:55,811011,811010,811181,0.4916,1,12164.1117571,9178.51428419,248341.97240076
"7",2017-11-07 23:41:56,811650,811011,811209,7,0.16,12168.81175736,9133.41819665,248391.57240076
"8",2017-11-07 23:41:57,811011,811200,811420,0.01,0.01190999,12162.50175736,9126.59519591,248392.66240076
"9",2017-11-07 23:42:01,811663,811211,811663,15.39200269,0.04972544,12143.90689726,9124.00189602,248414.06473765
"10",2017-11-07 23:42:02,811663,811300,811662,10,0.2105,12152.37489677,9113.96267058,248415.56538644
"11",2017-11-07 23:42:05,811840,811710,811840,0.96280115,27.3196,12153.70799784,9120.73377181,248418.02424856
"12",2017-11-07 23:42:06,811840,811710,811840,0.96280115,27.2416,12151.76969784,9120.65577181,248418.10224856
"13",2017-11-07 23:42:07,811840,811710,811840,0.10120115,25.4816,12158.95319808,9111.21306959,248421.82384856
"14",2017-11-07 23:42:08,811660,811626,811660,0.03,0.05879885,12152.26899669,9110.81226844,248423.76505068
"15",2017-11-07 23:42:09,811840,811626,811659,0.03,2,12138.31899571,9111.82026844,248423.34205068
"16",2017-11-07 23:42:10,811659,811626,811659,0.03,1.965,12135.92199547,9111.00526844,248420.37705068
"17",2017-11-07 23:42:11,811626,811408,811840,0.545,15.37355257,12132.2919962,9099.21362917,248432.36209696
"18",2017-11-07 23:42:12,811840,811408,811840,0.545,12.37355257,12133.21462899,9096.71362917,248436.03109696
