"","time","close","high","low","open","volumefrom","volumeto"
"1",2017-12-25 17:57:00,2034500,2039750,2034206,2037970,111.497574,227042160
"2",2017-12-25 17:58:00,2037124,2039750,2034210,2035000,50.363464,102592920
"3",2017-12-25 17:59:00,2034000,2034125,2024699,2028123,47.420395,96289410
"4",2017-12-25 18:00:00,2029000,2034500,2026300,2030600,94.50662,191767180
"5",2017-12-25 18:01:00,2030600,2034000,2027800,2032450,31.929207,64857584
"6",2017-12-25 18:02:00,2032799,2036000,2032211,2035000,73.23984,148977950
"7",2017-12-25 18:03:00,2035000,2036000,2027800,2030467,46.92648,95398730
"8",2017-12-25 18:04:00,2030001,2030999,2028160,2028182,17.34294,35190624
"9",2017-12-25 18:05:00,2028694,2031360,2028334,2028850,34.877323,70799500
"10",2017-12-25 18:06:00,2028936,2033200,2028542,2031174,50.502354,102587990
"11",2017-12-25 18:07:00,2031347,2032359,2028444,2029001,36.51508,74128790
"12",2017-12-25 18:08:00,2029736,2029805,2023270,2024400,67.88927,137509340
"13",2017-12-25 18:09:00,2024400,2024400,2020821,2021279,54.85184,110908050
"14",2017-12-25 18:10:00,2021150,2022220,2017000,2017800,62.856853,126971784
"15",2017-12-25 18:11:00,2017523,2021649,2017000,2019825,39.55604,79874550
"16",2017-12-25 18:12:00,2019846,2021649,2018965,2021647,29.842724,60297650
"17",2017-12-25 18:13:00,2021152,2024150,2021152,2023890,22.360882,45239580
"18",2017-12-25 18:14:00,2023604,2024000,2020309,2022528,23.342796,47205504
"19",2017-12-25 18:15:00,2022566,2022566,2015500,2016000,35.10836,70841870
"20",2017-12-25 18:16:00,2017000,2019500,2015010,2016040,34.594475,69768580
"21",2017-12-25 18:17:00,2016000,2019975,2015300,2019191,30.204151,60921972
"22",2017-12-25 18:18:00,2019154,2023300,2019087,2021598,30.424164,61487404
"23",2017-12-25 18:19:00,2021476,2024000,2021003,2021979,20.300957,41054650
"24",2017-12-25 18:20:00,2021697,2023999,2021000,2023989,15.151768,30633852
"25",2017-12-25 18:21:00,2023988,2028997,2022912,2027997,47.053875,95378020
"26",2017-12-25 18:22:00,2028370,2028607,2023936,2027900,46.61087,94456910
"27",2017-12-25 18:23:00,2027870,2028000,2025000,2025016,33.04707,66961610
"28",2017-12-25 18:24:00,2025201,2028450,2025200,2028249,32.06102,64998084
"29",2017-12-25 18:25:00,2027564,2028069,2025524,2025809,21.051962,42681724
"30",2017-12-25 18:26:00,2025828,2028201,2025828,2028179,15.876847,32185292
"31",2017-12-25 18:27:00,2028022,2031713,2028022,2030907,59.930275,121662140
"32",2017-12-25 18:28:00,2030707,2032580,2028028,2029707,51.636314,104824110
"33",2017-12-25 18:29:00,2029497,2029707,2028001,2028500,18.88051,38306868
"34",2017-12-25 18:30:00,2028109,2028500,2022000,2022073,49.536697,100339710
"35",2017-12-25 18:31:00,2024000,2024000,2015609,2018360,44.79751,90478780
"36",2017-12-25 18:32:00,2018360,2018535,2011111,2011944,75.07463,151244240
"37",2017-12-25 18:33:00,2012045,2017050,2011000,2013668,57.4935,115707800
"38",2017-12-25 18:34:00,2013510,2014000,2002851,2007232,82.07769,164909700
"39",2017-12-25 18:35:00,2003125,2010000,2003125,2008555,44.599037,89516970
"40",2017-12-25 18:36:00,2006107,2012350,2005000,2010030,58.62502,117803960
"41",2017-12-25 18:37:00,2009998,2017699,2007656,2016990,68.30739,137495740
"42",2017-12-25 18:38:00,2014947,2018000,2014267,2017514,55.1808,111290840
"43",2017-12-25 18:39:00,2017146,2017676,2006067,2008996,59.296143,119319190
"44",2017-12-25 18:40:00,2009844,2015635,2008002,2012000,32.059166,64530670
"45",2017-12-25 18:41:00,2013715,2016446,2012000,2015925,14.448927,29111232
"46",2017-12-25 18:42:00,2015924,2016350,2010010,2014001,20.106657,40490880
"47",2017-12-25 18:43:00,2014532,2017297,2012661,2017297,24.798342,49964530
"48",2017-12-25 18:44:00,2016345,2017775,2013520,2015271,17.43851,35158820
"49",2017-12-25 18:45:00,2015998,2017420,2014001,2016600,21.6896,43734004
"50",2017-12-25 18:46:00,2016625,2017498,2013133,2016000,29.474241,59416212
"51",2017-12-25 18:47:00,2014800,2016000,2008002,2008002,30.58436,61511200
"52",2017-12-25 18:48:00,2009150,2011897,2008003,2011497,27.32416,54918944
"53",2017-12-25 18:49:00,2011497,2011497,2008002,2008002,25.125208,50472716
"54",2017-12-25 18:50:00,2008045,2011770,2008000,2010750,51.35781,103174360
"55",2017-12-25 18:51:00,2010750,2012001,2010002,2010002,21.244902,42723860
